"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZSCAN18|65982",-3.0583570391206,4.30060731669395,-4.15146736915154,6.92041895605715e-05,0.00868677350865078,1.34110164342031
"CCDC151|115948",-3.38972395687863,-1.86198212210713,-4.14408911545804,7.1133645541612e-05,0.00883567751717365,1.17912929615669
"ICK|22858",0.955119930660797,4.66590267082831,4.14268076898916,7.15077593701459e-05,0.00883567751717365,1.26839745145012
"PPP1R9A|55607",-4.18248232170624,2.03402938358608,-4.13806921203763,7.27460390836128e-05,0.00888275372686727,1.46662899086325
"MAGEB2|4113",5.28168943187044,-3.87215319059366,4.1370885205634,7.30120121707603e-05,0.00888275372686727,0.751446873864596
"LOC285629|285629",4.09928547506165,-2.92695650107509,4.12207344251449,7.72026529628585e-05,0.00930111589756402,0.919397901942969
"ARMCX3|51566",-1.29411597731103,5.71815437699954,-4.12059717069386,7.7626915685284e-05,0.00930111589756402,1.09741886170866
"GTF2E2|2961",1.10438879953246,5.15437582833822,4.11643639872194,7.88347428191591e-05,0.0093748142287806,1.12647645649127
"DAPL1|92196",5.83229562180285,-1.96881362290045,4.11287126756868,7.98839861466468e-05,0.00942869496190572,1.06946053344595
"ERGIC3|51614",-0.807762883649242,8.27203261552904,-4.11081445886319,8.04953997250134e-05,0.00943048327445046,1.02885061631169
"KYNU|8942",3.72422861424805,3.95600240630744,4.10395055915089,8.25684380702379e-05,0.00960222365087414,1.21689616984529
"LIN7C|55327",0.802830549333505,5.04201099484424,4.09546827112568,8.5201057277414e-05,0.00981194150665208,1.0642205744013
"PPP4R4|57718",5.20097010748302,-2.35951903127999,4.09416524121537,8.56125397014408e-05,0.00981194150665208,0.948181164997131
"FBXO30|84085",1.02348063925747,4.05304209532024,4.0745851886604,9.20299019081822e-05,0.010456101835909,1.1043543986343
"ZNF607|84775",-2.0346756757783,2.79308753978368,-4.07304068404116,9.25552767467918e-05,0.010456101835909,1.22057865297341
"ZFP30|22835",-2.04546181888535,2.81264786553167,-4.07096007585512,9.32675573395776e-05,0.0104618417509416,1.21235455608351
"ZC4H2|55906",-2.9491146824315,2.43645236414213,-4.05945017762828,9.73037810484739e-05,0.0108377225426948,1.19324870038119
"TMEM2|23670",-1.75646971821786,6.55749677105854,-4.04642143414915,0.000102074550291048,0.0112611837369601,0.807100963022747
"ASF1A|25842",0.98668007908956,4.36808920009604,4.04520896497565,0.000102529745708286,0.0112611837369601,0.965642300096624
